Issue Nº,Título,Sprint (Milestone),Status,Data Criação,Data Fechamento,Prazo Planejado,Lead Time (dias),Slippage (dias)
29,Fase 4: Artefato de melhoria (README e documentação),Ponto de Controle 2,Aberta,2025-07-13,,2025-07-13,0,
28,Elaboração e Apresentação dos Slides da Avaliação de Qualidade,Entrega Final,Aberta,2025-07-13,,2025-07-14,0,
27,Panorama Geral da Gerência,Ponto de Controle 1,Fechada,2025-07-12,2025-07-12,2025-07-12,0,0
26,Executar ação de melhoria no projeto,Entrega Final,Fechada,2025-07-12,2025-07-13,2025-07-14,1,-1
25,Identificar oportunidades de melhoria a partir da avaliação,Entrega Final,Fechada,2025-07-12,2025-07-13,2025-07-14,1,-1
24,Entrega da fase 3,Ponto de Controle 1,Fechada,2025-07-12,2025-07-12,2025-07-12,0,0
23,Projeto da Avaliação – Fase 3: Compreensibilidade,Planejamento,Fechada,2025-07-12,2025-07-12,2025-07-10,0,1
22,Entrega da Fase 2,Ponto de Controle 1,Fechada,2025-07-11,2025-07-12,2025-07-12,0,0
21,Avaliação de medição de Processo ,Ponto de Controle 2,Aberta,2025-07-11,,2025-07-13,0,
20,Execução de medição de processo ,Ponto de Controle 2,Aberta,2025-07-11,,2025-07-13,0,
19,Planejamento de Processo de medição,Ponto de Controle 1,Fechada,2025-07-11,2025-07-13,2025-07-12,1,1
18,Estabelecimento e comprometimento com a medição  de processo,Ponto de Controle 1,Fechada,2025-07-11,2025-07-12,2025-07-12,0,0
17,Referencial Teórico,Ponto de Controle 1,Fechada,2025-07-11,2025-07-12,2025-07-12,0,-1
16,Estruturação da página principal da Gerência de Processo,Ponto de Controle 1,Fechada,2025-07-11,2025-07-12,2025-07-12,0,-1
15,Gerência de processo,Entrega Final,Aberta,2025-07-11,,2025-07-14,0,
14,Gerenciamento do projeto por PSM/CID,Ponto de Controle 1,Aberta,2025-07-11,,2025-07-12,0,
13,Verificação do artefato da Fase 1.,Ponto de Controle 1,Fechada,2025-07-11,2025-07-12,2025-07-12,0,-1
12,Information Needs: Categoria de Recursos e Custos,Ponto de Controle 2,Aberta,2025-07-11,,2025-07-13,0,
11,Information Needs: Categoria de Desempenho dos Processos,Ponto de Controle 2,Aberta,2025-07-11,,2025-07-13,0,
10,Information Needs: Categoria de Calendário e Progresso,Ponto de Controle 2,Aberta,2025-07-11,,2025-07-13,0,
9,Estabelecer os requisitos de avaliação,Ponto de Controle 1,Fechada,2025-07-11,2025-07-11,2025-07-12,0,-1
8,Definir Metas para as Métricas,Ponto de Controle 1,Fechada,2025-07-11,2025-07-11,2025-07-12,0,-1
7,Formular Hipóteses para cada Questão,Ponto de Controle 1,Fechada,2025-07-11,2025-07-11,2025-07-12,0,-1
6,Formular Questões da Avaliação,Ponto de Controle 1,Fechada,2025-07-11,2025-07-11,2025-07-12,0,-1
5,Criar Abstraction Sheet,Ponto de Controle 1,Fechada,2025-07-11,2025-07-12,2025-07-12,1,0
4,Criar Objetivo de Medição,Planejamento,Fechada,2025-07-11,2025-07-11,2025-07-10,0,1
3,Adição da página de Visão Geral,Planejamento,Fechada,2025-07-10,2025-07-10,2025-07-10,0,0
2,Automatizar Deploy da Documentação (MkDocs) no GitHub Pages,Planejamento,Fechada,2025-07-10,2025-07-10,2025-07-10,0,0
1,Implementar Estrutura de Documentação com MkDocs,Planejamento,Fechada,2025-07-10,2025-07-10,2025-07-10,0,0
