Colaborador,Milestone,Issues Atribuídas,Issues Concluídas,Esforço Total (dias),Esforço Médio por Issue (dias),Eficiência de Alocação (entregas/esforço),Taxa de Conclusão (%)
RaissaAndradeS,Entrega Final,3,2,2.02,1.01,0.9885,66.67
RaissaAndradeS,Ponto de Controle 1,8,8,6.07,0.76,1.3176,100.0
RaissaAndradeS,Ponto de Controle 2,1,0,0.0,0,0,0.0
RaissaAndradeS,Planejamento,2,2,1.03,0.52,1.9393,100.0
MVConsorte,Entrega Final,4,2,2.02,1.01,0.9885,50.0
MVConsorte,Ponto de Controle 1,7,6,3.6,0.6,1.6649,85.71
MVConsorte,Ponto de Controle 2,5,0,0.0,0,0,0.0
MVConsorte,Planejamento,3,3,0.22,0.07,13.3539,100.0
,,,,,,,
RESUMO POR MILESTONE,,,,,,,
MILESTONE,Ponto de Controle 1,14,13,9.34,0.72,,92.86
MILESTONE,Entrega Final,4,2,2.02,1.01,,50.0
MILESTONE,Planejamento,5,5,1.26,0.25,,100.0
